Time,Theta_Actual,Theta_Predicted,Gamma_Actual,Gamma_Predicted
40.85,0.0899870911042581,0.14382917191332242,-0.2529260117956419,-0.25674987079488154
40.86,0.0912520138016723,0.14628747642074377,-0.2539953311604726,-0.2593574060258807
40.87,0.0922759569713678,0.14858828250080966,-0.2544422551389823,-0.2613755542243131
40.88,0.0934606077022698,0.15104667340524427,-0.2551143415358097,-0.2634991361080179
40.89,0.094798265474847,0.15358279759761245,-0.2559460864092136,-0.2655191453839235
40.9,0.0958586456819206,0.15587182699196261,-0.2565952737990382,-0.26698659964649385
40.91,0.0969772708100155,0.15796480347784264,-0.2570724818559525,-0.26795328490255843
40.92,0.0979989761996453,0.16008804674562652,-0.2573744007085755,-0.2691795138871171
40.93,0.099003728970347,0.16173072633974322,-0.2579631850914154,-0.26978930083780117
40.94,0.1003115388909403,0.1634904433320588,-0.2587800231955999,-0.27054298539967403
40.95,0.1016717147294998,0.16309678052793175,-0.2589204991034033,-0.26422492788043495
40.96,0.1028218684998446,0.1628486925664441,-0.259487541802901,-0.2596324952547212
40.97,0.1039786843164829,0.16301838177929145,-0.2600978622382104,-0.25631641893049095
40.98,0.1050068622052413,0.16363805602815462,-0.2608074320541519,-0.2547680707279891
40.99,0.1061172028031618,0.1646104578720508,-0.2614874296501931,-0.25462122252094466
41.0,0.1073965428181004,0.16623597764183837,-0.2622233692002246,-0.25640223888216107
41.01,0.1088315798381399,0.1685560603884138,-0.2629206416778038,-0.25982303296286985
41.02,0.1097560335123433,0.17134903894525078,-0.2631463264624654,-0.2646830025667541
41.03,0.1108516935510672,0.17456299329146377,-0.2636661998576422,-0.26988520649271197
41.04,0.1121355561657995,0.17821310729000217,-0.264517091025866,-0.27568410057906095
41.05,0.1131452216850738,0.18163511010738767,-0.2648842318862877,-0.28076323481927307
41.06,0.1143887293937341,0.18509348464251452,-0.2653808769769369,-0.28531817285999805
41.07,0.1155844836166183,0.18770504183856315,-0.2657841857096832,-0.28826670530961207
41.08,0.11661833627502,0.19042763309178437,-0.266576706120042,-0.29073561583214796
41.09,0.1176739936957935,0.1943332838355081,-0.2674203025853871,-0.29508843493354314
41.1,0.1187414873413163,0.19770935388802513,-0.268120416593413,-0.2979963417540238
41.11,0.1198839651523638,0.1999691346721036,-0.2686568270325754,-0.2991077107192853
41.12,0.1210700772733342,0.20096837590043143,-0.2692375623609851,-0.29843199093749656
41.13,0.1219822974112624,0.2029463359048057,-0.2700650646865887,-0.2998848436915079
41.14,0.1233966081163106,0.20359054319843353,-0.270803347456206,-0.29909037933039984
41.15,0.1244347571606551,0.20323559646172193,-0.2711017713215136,-0.29698861358643713
41.16,0.1256819117953309,0.20212538746406655,-0.2715521471233749,-0.29361463120633097
41.17,0.1267503550294966,0.2006600702790084,-0.2720743518061873,-0.28973437163915594
41.18,0.1277263670402112,0.199054182278291,-0.2725033241747542,-0.28549320916638726
41.19,0.1289650425439266,0.19759174075442967,-0.2731453781585473,-0.28208435080747485
41.2,0.1293587481908829,0.19569642802624335,-0.272917978870445,-0.27900950596516216
41.21,0.1302568457283901,0.19353979858340742,-0.2732240588108545,-0.2762461009666502
41.22,0.1312594685499461,0.1905304079349317,-0.2735942881297108,-0.2728802057055399
41.23,0.1320453855519802,0.18656117869910885,-0.2739902336227843,-0.26827695925081635
41.24,0.1328254137841885,0.18168348052084624,-0.27429939793064,-0.2625039706820605
41.25,0.1337049699685259,0.1751819748170433,-0.2743122573318337,-0.25471991014100126
41.26,0.1342086754157467,0.16824974505444765,-0.2742368605326047,-0.24626542229117218
